acousticness,age,artist_popularity,danceability,duration_ms,energy,followers,genre_popularity,id,instrumentalness,key,length,loudness,mode,name,tempo,time_signature,track_popularity,valence
0.3883,11115.34,72.14,0.5957,236120.12,0.5478,38678,100.0,37i9dQZF1DX6bJVMtDYJHx,0.0057,5.24,50,-9.6163,0.8,This Is Aretha Franklin,117.6699,3.8,44.88,0.6205
0.2679,13012.5,74.35,0.5752,239702.3269,0.4914,159849,96.84,37i9dQZF1DWZvGllBOMzci,0.0123,5.0962,52,-11.4531,0.6731,This Is Bee Gees,108.4642,3.9808,43.77,0.572
0.0107,5386.15,80.0,0.4312,177980.9231,0.9183,146174,98.97,37i9dQZF1DX4EKARgqYPFZ,0.0096,5.8615,65,-4.9532,0.9538,This Is: blink-182,130.107,3.9231,42.0,0.5259
0.8706,2994.92,35.84,0.5074,154028.88,0.3257,6583,79.99,37i9dQZF1DWY5M5bfaAf3t,0.1096,3.64,25,-11.6541,0.68,This is: Bronzeville,111.6826,3.68,21.84,0.5194
0.1986,1507.1,91.0,0.6807,224647.2051,0.6984,1582710,100.0,37i9dQZF1DX177vQ7mVRmP,0.0,3.5897,39,-5.3828,0.641,This Is Bruno Mars,125.7349,3.9744,72.05,0.6345
0.5418,11799.82,66.16,0.574,205254.82,0.4654,20587,99.37,37i9dQZF1DX6GiJlVeD6Ou,0.0392,4.26,50,-10.5876,0.84,This is: Carole King,123.4565,3.94,22.0,0.5897
0.0887,12154.36,69.0,0.4549,291208.34,0.7337,57267,99.36,37i9dQZF1DX5WtNRbfbuUo,0.1847,6.52,50,-8.9057,0.62,This is: Deep Purple,126.5863,3.94,37.34,0.5552
0.1305,8453.42,76.0,0.5913,274527.5472,0.7193,132742,96.65,37i9dQZF1DX3BSwupE5hR7,0.1084,6.0189,53,-9.1586,0.4717,This Is: Depeche Mode,123.1751,3.8868,45.42,0.5312
0.371,4686.94,61.0,0.5116,281233.8286,0.6695,8153,97.3,37i9dQZF1DWVRrLXgTbWFy,0.0215,5.3714,35,-6.7289,0.5714,This Is: Dispatch,113.9934,4.0571,40.34,0.4934
0.4275,956.08,97.0,0.6778,238432.825,0.5051,2676005,100.0,37i9dQZF1DWWxPM4nWdhyI,0.0001,5.5,40,-6.9851,0.775,This Is Ed Sheeran,107.8319,3.875,75.7,0.5808
0.0704,574.22,93.55,0.781,212941.775,0.5769,294880,100.0,37i9dQZF1DWVstK6FYh8Nw,0.0284,4.1,40,-6.7169,0.625,This Is Future,136.9666,3.975,60.18,0.2995
0.246,5377.35,73.51,0.6245,306240.098,0.5527,195029,99.75,37i9dQZF1DXcIVSTUG9zAG,0.0098,5.8824,51,-11.85,0.5686,This Is: George Michael,117.2375,3.8627,50.22,0.5354
0.7544,4643.22,57.2,0.5918,239320.3673,0.2466,7049,96.91,37i9dQZF1DWUifRttnt99X,0.0139,5.4694,49,-12.1761,0.8571,This Is: Gillian Welch,115.2033,3.898,36.78,0.4083
0.2711,983.26,83.0,0.4741,223428.0,0.6404,152431,100.0,37i9dQZF1DX3Csy1LFxjkI,0.0,6.4737,19,-5.8771,0.4737,This Is James Arthur,113.2301,3.9474,66.47,0.3927
0.1639,5407.16,71.0,0.6916,287390.66,0.76,78929,87.0,37i9dQZF1DX9OTdoPfdJpF,0.143,5.4,50,-7.9934,0.52,This is: Jamiroquai,114.9983,4.0,45.3,0.7104
0.4562,3104.38,82.14,0.6143,236619.1034,0.4952,204184,100.0,37i9dQZF1DWYrlaUEYy4Vg,0.0608,4.8793,58,-8.8988,0.8448,This Is: John Mayer,117.1533,3.9138,61.38,0.4589
0.4051,2324.62,82.11,0.5506,246155.5405,0.581,110083,100.0,37i9dQZF1DX8DxW4iib3Eq,0.0002,5.9189,37,-6.9505,0.5946,This Is: John Legend,107.8885,3.973,49.68,0.4776
0.1725,1769.39,91.2,0.6521,226186.1633,0.6711,1154636,100.0,37i9dQZF1DXc2aPBXGmXrt,0.0002,4.0204,49,-5.7979,0.5306,This Is Justin Bieber,115.0516,3.9592,60.45,0.5203
0.138,2190.56,82.39,0.6507,233592.25,0.7278,301301,100.0,37i9dQZF1DXc7FZ2VBjaeT,0.0022,4.25,36,-5.3874,0.6389,This Is Lady Gaga,120.5502,3.9167,52.86,0.5556
0.298,500.28,76.0,0.6386,217348.1562,0.6038,226058,100.0,37i9dQZF1DX1xlmTNXq2Qg,0.0551,4.7188,32,-7.8229,0.875,This Is: LANY,114.9412,3.9375,57.25,0.4028
0.5763,1938.61,62.0,0.4824,232689.9167,0.3793,9904,96.91,37i9dQZF1DX3Hdbt1R3mYP,0.0115,4.0278,36,-11.9525,0.6389,This Is: Laura Marling,118.2785,3.6389,34.22,0.3971
0.2424,1954.5,68.61,0.5189,222071.1964,0.6336,55164,95.4,37i9dQZF1DWULYh276RumE,0.0036,5.5357,56,-6.7378,0.9107,This Is:  Miranda Lambert,123.4305,3.8214,50.8,0.4228
0.0772,3719.27,77.29,0.4427,270955.561,0.7683,133939,99.36,37i9dQZF1DWTG97QsiXgEX,0.0552,5.878,41,-5.9961,0.7561,This Is: Muse,123.3529,3.8537,58.34,0.3157
0.4037,11959.24,70.72,0.4977,295101.44,0.4503,74988,99.36,37i9dQZF1DWT6VDwxLyl0W,0.0158,4.92,50,-12.4827,0.72,This Is: Neil Young,124.5974,3.92,40.02,0.4766
0.7618,17782.36,71.0,0.484,215060.26,0.3175,81653,96.91,37i9dQZF1DX8OYzU0lx5hL,0.0102,6.96,50,-13.3566,0.58,This Is Nina Simone,117.5754,3.66,45.98,0.4779
0.2337,9646.26,57.41,0.6837,282615.9565,0.6125,56366,99.19,37i9dQZF1DWThFkopzOaNW,0.0121,5.6522,46,-10.7507,0.6087,This Is New Edition,112.4438,3.9565,42.11,0.6816
0.1153,1570.04,84.0,0.581,209573.06,0.7551,379833,100.0,37i9dQZF1DX6p4TJxzMRDe,0.0,4.36,50,-4.5017,0.84,This Is One Direction,124.8796,3.98,63.88,0.5238
0.168,1598.56,81.78,0.5492,237407.6562,0.7243,123144,99.63,37i9dQZF1DXbZBKpgxsyXU,0.0066,5.1875,32,-6.0286,0.625,This Is: OneRepublic,111.2258,3.9375,50.88,0.389
